Organization,Description,Year
Amahi,Making Home Networking and Storage Simple,2017
AOSSIE - Australian Open Source Software Innovation and Education,Umbrella Org for Open-Source Projects in Australia,2017
Apache Software Foundation,Providing open source software to the public free of charge,2017
Apertium,Free/open-source rule-based machine translation,2017
Apertus Association,Open Technology for Professional Film Production,2017
appleseedhq,A modern open source rendering engine for animation and visual effects,2017
ArduPilot,The worlds most advanced open source autopilot,2017
Babel,"Babel, the community driven compiler for writing next generation JavaScript",2017
Bazel,Fast and correct build system for Google scale,2017
BeagleBoard.org Foundation,"open hardware physical computing for makers, educators and professionals",2017
Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM",2017
BeeWare Project,The IDEs of Python. Tools for cross-platform Python application development.,2017
Berkman Klein Center for Internet and Society at Harvard University,"exploring cyberspace, sharing in its study & pioneering its development",2017
Blender Foundation,Free and open source 3D creation for artists and teams,2017
Boost C++ Libraries,Boost provides free peer-reviewed portable C++ source libraries.,2017
Boston University / XIA,Crowdsourcing the future Internet,2017
BRL-CAD,"& LibreCAD, OpenSCAD, STEPcode, LinuxCNC, FreeCAD, & Slic3r!  Computer Graphics.",2017
Cadasta,"Transforming the way land & resource rights are documented, managed and stored.",2017
Catrobat,Computational thinking for all through visual mobile programming frameworks,2017
cBioPortal for Cancer Genomics,Developing open source solutions for precision medicine for cancer patients,2017
CCExtractor Development,Tools for a subtitled world.,2017
Ceph,The Future of Storage,2017
CERN-HSF,"CERN-HEPSoftwareFoundation, umbrella organization for particle physics in GSoC",2017
Chapel,a Productive Parallel Programming Language,2017
Checker Framework,"Preventing programming errors before they happen, via easy-to-use verification",2017
Checkstyle,Dev tool to help programmers write Java code that adheres to a coding standard.,2017
Classical Language Toolkit,NLP for the ancient world,2017
"CLiPS, University of Antwerp",Computational (Psycho)Linguistics,2017
Clojure,Supporting the Clojure and ClojureScript ecosystem,2017
Cloud Native Computing Foundation (CNCF),The CNCF is a nonprofit committed to the development of cloud native technology,2017
CloudCV,Building platforms for reproducible AI research,2017
CMU Sphinx,"Fast, Accurate, Flexible Open Source Speech Recognition",2017
coala,Linting and Fixing Code for All Languages,2017
Computational Biology @ University of Nebraska-Lincoln,Development of software technologies for biomedical research and applications.,2017
Conversations.im,"Federated, end-to-end encrypted instant messaging based on XMPP/OMEMO",2017
Copyleft Games,"Game libraries, frameworks, and development toolkits",2017
DBpedia,"a Large, Multilingual, Semantic Knowledge Graph",2017
Discourse,Civilized discussion for your community.,2017
Django Software Foundation,The web framework for perfectionists with deadlines.,2017
Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Let's make something amazing",2017
Eclipse Vert.x,Eclipse Vert.x is a tool-kit for building reactive applications on the JVM,2017
Elm Software Foundation,A delightful functional language for reliable webapps.,2017
Environmental Data And Governance Initiative,International network addressing threats to US environmental & energy policy,2017
Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First",2017
FFmpeg,"Cross-platform software to convert audio, video and subtitles.",2017
FOSDEM,The organization that handles all aspects of the FOSDEM conference,2017
FOSSASIA,Improve People's Lives,2017
Free and Open Source Silicon Foundation,Umbrella for various projects around open source hardware and tools,2017
FreeBSD,FreeBSD: The Foundation of the Internet,2017
Freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,2017
Frescobaldi,Edit music scores with GNU LilyPond.,2017
"Genes, Genomes and Variation",Genome databases and browsers,2017
GENIVI Development Platform,Open Source Automotive Development Platform,2017
Gentoo Foundation,"A flexible, source-based Linux distribution.",2017
Git,"fast, scalable, distributed revision control system",2017
Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health.,2017
GNOME,Non-profit organization that creates a computing platform for the general public,2017
GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver,2017
GNU Octave,Free Your Numbers,2017
GNU Radio,The Free & Open Software Radio Ecosystem,2017
Green Navigation,Energy efficient routing for electric vehicles,2017
Haiku,Light open-source operating system that specifically targets personal computing.,2017
Homebrew,Homebrew is a package manager for macOS written in Ruby.,2017
illumos.org,Open Source successor of OpenSolaris,2017
INCF,Advancing global collaborative brain research,2017
Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OSX, & Linux.",2017
Institute for Artificial Intelligence,Research in Artificial Intelligence and Perception for Autonomous Mobile Robots,2017
Intel Media and Audio for Linux,"Open Source Media libraries, Applications and User space driver.",2017
Internet Archive,Universal Access to All Knowledge,2017
JBoss Community,Community of Java projects around JBoss Middleware,2017
JdeRobot - Universidad Rey Juan Carlos,A software framework for developing applications in robotics and computer vision,2017
Jitsi,Advanced Real-Time Communication,2017
Joomla,A free and Open Source CMS Trusted By Millions for their Websites,2017
JSK Robotics Laboratory,Humanoid Robotics Laboratory at the University of Tokyo,2017
K-9 Mail,K-9 Mail – Advanced Email for Android,2017
KDE,Experience Freedom!,2017
LabLua,Programming Languages Research with emphasis on  the Lua language,2017
LibreHealth,Healthcare for Humanity,2017
LibreOffice,"Free Office Suite, Fun Project, Fantastic People",2017
libvirt,virtualization abstraction library,2017
Liquid Galaxy Project,Get immersed in open-source!,2017
LLVM Compiler Infrastructure,llvm,2017
lowRISC,Creating a fully open-source SoC design,2017
LuaRocks,The package manager for the Lua programming language,2017
MariaDB,One of the most popular databases on the web with many notable users,2017
Matrix.org,An ambitious open source project creating a new decentralised comms ecosystem.,2017
MBDyn,High fidelity multibody dynamics engine with extended capabilities,2017
MetaBrainz Foundation Inc.,MetaBrainz operates MusicBrainz and a number of related open data projects.,2017
Metasploit,Open Source framework for exploit development and penetration testing,2017
Microkernel devroom,"Confederation of microkernel projects (Genode, HelenOS, GNU Hurd, MINIX, Redox)",2017
Mifos Initiative,End Poverty One Line of Code at a Time,2017
MIT App Inventor,Empowering anyone to make their world a better place,2017
Mixxx DJ Software,DJ Your Way. For Free.,2017
mlpack,a scalable C++ machine learning library,2017
Mobile Robot Programming Toolkit (MRPT),Mobile Robot Programming Toolkit: empowering C++ development in robotics,2017
Mono Project,Cross-platform C#/F#/.NET runtime and tools,2017
Moodle,The world's open source learning platform,2017
MovingBlocks,Terasology: like an open source Minecraft - imagine the possibilities!,2017
Mozilla,"Internet for people, not profit.",2017
MuseScore,Free and open-source music notation software,2017
National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,2017
Netfilter project,FOSS community-driven project that provides firewalling tools for Linux,2017
Nmap Security Scanner,Swiss Army knife of network discovery and security auditing,2017
NumFOCUS,NumFOCUS promotes open source scientific software.,2017
Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.,2017
Open Chemistry,Advancing Open Source and Open Science for Chemistry,2017
Open Data Kit,Open Data Kit is used to collect data for social good in difficult environments.,2017
Open Detection,Open Detection is a open source project for object detection and recognition.,2017
Open Genome Informatics,Open Genome Informatics represents the efforts of many bioinformatics projects.,2017
Open States,Opening State Legislatures,2017
Open Technologies Alliance - GFOSS,Promote Openness through use and development of Open Standards and Technologies,2017
OpenAstronomy,Opening the eyes of research astronomy software to the whole world.,2017
OpenCV,Open Source Computer Vision and Machine Learning Library,2017
OpenMRS,Write Code. Save Lives.,2017
OpenStreetMap,OpenStreetMap - Creating and distributing free geographic data for the world.,2017
openSUSE,"The makers' choice for sysadmins, developers and desktop users.",2017
OpenWISP,Open Source solution to build and manage wifi networks,2017
Oppia Foundation,Oppia is a tool for collaboratively building interactive and intelligent tutors.,2017
OSGeo,Open Source Geospatial Foundation,2017
oVirt,Open virtual datacenter management for all,2017
ownCloud,A safe home for all your data,2017
P2PSP.org,Shaping the future Internet TV,2017
PEcAn Project,Develop accessible tools for reproducible ecosystem modeling and forecasting,2017
Performance Co-Pilot,System-level performance analysis toolkit,2017
Pharo Consortium,Pharo: The Immersive Programming Experience,2017
phpBB Forum Software,phpBB is the most widely used free and open source forum software,2017
phpMyAdmin,A web interface for MySQL written in PHP,2017
Physical Web Project,Physical Web GSoC project based on the Physical Web,2017
Plone Foundation,The premier python-based open source CMS,2017
PMD,An extensible cross-language static code analyzer.,2017
Polly Labs,Promoting Polyhedral Compilation,2017
Portland State University,Individual and Academic Open Source,2017
PostgreSQL,"PostgreSQL is a powerful, open source object-relational database system.",2017
Public Lab,Open hardware and software to help communities measure and analyze pollution,2017
Python Software Foundation,Python is a programming language used by scientists & software developers alike.,2017
QEMU,Open source machine emulator and virtualizer,2017
Qubes OS,A reasonably secure operating system,2017
R project for statistical computing,R is a free software environment for statistical computing and graphics,2017
radare2,Radare2 reverse engineering framework and toolset,2017
ReactOS,"ReactOS is a free, open source, Windows compatible operating system.",2017
Red Hen Lab,Research on Multimodal Communication,2017
RoboComp,A simple robotics framework.,2017
Rocket.Chat,The ultimate open source chat and messaging platform,2017
Rspamd,High-performance spam filtering system,2017
RTEMS Project,RTEMS is a real-time operating system used around the world and in space.,2017
Ruby on Rails,Ruby on Rails make web application development easy and fun.,2017
Ruby Science Foundation,Tools for Scientific Computing in Ruby,2017
Sage Mathematical Software System,open source math software,2017
Samba,Opening windows to a wider world.,2017
Scala,The programming language where object-oriented meets functional.,2017
Scilab,Numerical computational package and high-level programming language.,2017
ScummVM,ScummVM is a GSoC umbrella for game preservation projects,2017
Shogun Machine Learning Toolbox,Unified and efficient Machine Learning,2017
